UniqueID,Section,Semester,TestControl,LAB_Avg_PI,LAB_grade_Avg,ASSIGN_PI_avg,ASSIGN_grade_Avg,QUIZ_PI_Avg,Quiz_Grade_Avg.,Final_PI_Avg,Final_Grade_Avg,final_weigth_PI
54025182,1112W02,SP23,Control,0,98.718,0,100,0.125,79.25,0.042,92.656,0.041
31453860,1112W02,SP23,Control,0.125,90.131,0.5,100,0.375,65,0.333,85.044,0.17
12656297,1112W02,SP23,Control,0.375,78.515,0.167,100,0.625,62,0.389,80.172,0.25
12868055,1112W02,SP23,Control,0.625,68.822,1,100,0.375,58.25,0.667,75.691,0.249
51731655,1112W02,SP23,Control,0.75,55.112,0,100,0.875,39.75,0.542,64.954,0.353
51244663,1112W02,SP23,Control,0,92.487,1,0,0.125,76.25,0.375,56.246,0.113
52356788,1112W02,SP23,Control,0.125,100,0,100,0,85.25,0.042,95.083,0.011
48739201,1112W02,SP23,Control,0.25,92.909,0,100,0.25,64.5,0.167,85.803,0.104
72244415,1112W02,SP23,Control,0.125,85.406,0.333,100,0,76,0.153,87.135,0.035
22327248,1112W02,SP23,Control,0.125,99.359,0,100,0,75,0.042,91.453,0.011
99021910,1112W02,SP23,Control,0.125,72.171,0,100,0,44,0.042,72.057,0.011
59035804,1112W02,SP23,Control,0.125,97.873,0,100,0.125,74.25,0.083,90.708,0.052
17085850,1112W02,SP23,Control,0.5,59.32,0,100,0.375,79.75,0.292,79.69,0.166
17559799,1112W02,SP23,Control,0.5,78.276,0.667,96.667,0.625,72,0.597,82.314,0.297
27065597,1112W02,SP23,Control,0.125,78.943,0.333,100,0,67.75,0.153,82.231,0.035
7421879,1113W01,SP23,Test,0.25,88.01,0.125,100,0,84.166,0.125,88.102,0.075
97150854,1113W01,SP23,Test,0,100,0,100,0,82.501,0,89.501,0
54460427,1113W01,SP23,Test,0,99.621,0.375,100,0.25,90.416,0.208,94.174,0.225
79180641,1113W01,SP23,Test,0.5,88.122,0.625,87.5,0.125,76.665,0.417,81.123,0.3
68076025,1113W01,SP23,Test,0.375,50.102,0.375,92.964,0.5,79.165,0.417,76.112,0.45
6602007,1113W01,SP23,Test,0.75,85.54,0.625,100,0.5,77.916,0.625,83.858,0.575
11151392,1113W01,SP23,Test,0.5,100,0.125,100,0.375,88.333,0.333,93,0.35
122888,1113W01,SP23,Test,0.25,75.304,0.5,88.558,0.25,79.999,0.333,80.772,0.3
39161297,1113W01,SP23,Test,0.875,52.974,1,81.285,0.875,72.915,0.917,70.601,0.9
64301610,1113W01,SP23,Test,0.5,96.163,0.5,62.466,0.875,71.666,0.625,74.726,0.725
